table|_time|_value
0|2023-04-15T23:44:04.557949+00:00|167.51
0|2023-04-15T23:44:34.562187+00:00|180.3
0|2023-04-15T23:44:45.490672+00:00|181.63
0|2023-04-15T23:45:04.565418+00:00|178.82
0|2023-04-15T23:45:34.569841+00:00|175.74
0|2023-04-15T23:46:04.572953+00:00|174.95
0|2023-04-15T23:46:12.487452+00:00|171.13
0|2023-04-15T23:46:34.486995+00:00|158.68
0|2023-04-15T23:46:34.575986+00:00|158.68
0|2023-04-15T23:46:40.486214+00:00|168.36
0|2023-04-15T23:47:04.581007+00:00|166.94
0|2023-04-15T23:47:34.584667+00:00|173.21
0|2023-04-15T23:48:04.589696+00:00|172.8
0|2023-04-15T23:48:34.591886+00:00|171.08
0|2023-04-15T23:49:04.595905+00:00|171.91
0|2023-04-15T23:49:34.599527+00:00|171.25
0|2023-04-15T23:50:04.603265+00:00|166.4
0|2023-04-15T23:50:34.606899+00:00|165.81
0|2023-04-15T23:51:04.610610+00:00|167.51
0|2023-04-15T23:51:34.615480+00:00|169.29
0|2023-04-15T23:52:04.617905+00:00|168.16
0|2023-04-15T23:52:21.472291+00:00|157.43
0|2023-04-15T23:52:27.472210+00:00|167.19
0|2023-04-15T23:52:34.621604+00:00|168.25
0|2023-04-15T23:53:04.625756+00:00|168.43
0|2023-04-15T23:53:34.660346+00:00|168.13
0|2023-04-15T23:54:04.633052+00:00|168.2
0|2023-04-15T23:54:09.468336+00:00|178.21
0|2023-04-15T23:54:18.467706+00:00|150.61
0|2023-04-15T23:54:34.636971+00:00|171.65
0|2023-04-15T23:54:45.466469+00:00|161.54
0|2023-04-15T23:55:04.640640+00:00|162.85
0|2023-04-15T23:55:34.644047+00:00|161.41
0|2023-04-15T23:56:04.647843+00:00|161.1
0|2023-04-15T23:56:34.652140+00:00|158.91
0|2023-04-15T23:57:04.656038+00:00|161.52
0|2023-04-15T23:57:34.659312+00:00|160.61
0|2023-04-15T23:58:04.664989+00:00|157.52
0|2023-04-15T23:58:34.666757+00:00|162.18
0|2023-04-15T23:59:04.671150+00:00|161.37
0|2023-04-15T23:59:34.674461+00:00|159.01
0|2023-04-16T00:00:04.679124+00:00|161.13
0|2023-04-16T00:00:34.681701+00:00|158.08
0|2023-04-16T00:01:04.687664+00:00|157.85
0|2023-04-16T00:01:34.690040+00:00|158.47
0|2023-04-16T00:02:04.696083+00:00|158.97
0|2023-04-16T00:02:34.697086+00:00|160.02
0|2023-04-16T00:03:04.702352+00:00|158.11
0|2023-04-16T00:03:34.705556+00:00|159.56
0|2023-04-16T00:04:04.711008+00:00|157.78
0|2023-04-16T00:04:34.713079+00:00|159.39
0|2023-04-16T00:05:04.718229+00:00|159.0
0|2023-04-16T00:05:34.721608+00:00|160.24
0|2023-04-16T00:06:04.727628+00:00|161.81
0|2023-04-16T00:06:34.729271+00:00|160.81
0|2023-04-16T00:07:04.734179+00:00|162.21
0|2023-04-16T00:07:34.737474+00:00|158.22
0|2023-04-16T00:08:04.741155+00:00|158.7
0|2023-04-16T00:08:34.745044+00:00|158.87
0|2023-04-16T00:09:04.749392+00:00|158.02
0|2023-04-16T00:09:34.751904+00:00|159.81
0|2023-04-16T00:10:04.756183+00:00|158.84
0|2023-04-16T00:10:34.759099+00:00|157.82
0|2023-04-16T00:11:04.764970+00:00|158.8
0|2023-04-16T00:11:34.767826+00:00|161.05
0|2023-04-16T00:12:04.771817+00:00|160.72
0|2023-04-16T00:12:34.775025+00:00|160.53
0|2023-04-16T00:13:04.778711+00:00|161.04
0|2023-04-16T00:13:34.782554+00:00|159.59
0|2023-04-16T00:14:04.786459+00:00|159.33
0|2023-04-16T00:14:34.791364+00:00|158.84
0|2023-04-16T00:15:04.793716+00:00|158.52
0|2023-04-16T00:15:34.796495+00:00|158.15
0|2023-04-16T00:16:04.800463+00:00|160.29
0|2023-04-16T00:16:34.804946+00:00|158.24
0|2023-04-16T00:17:04.808206+00:00|160.8
0|2023-04-16T00:17:34.811950+00:00|158.15
0|2023-04-16T00:18:04.816310+00:00|160.51
0|2023-04-16T00:18:34.820862+00:00|157.03
0|2023-04-16T00:19:04.823900+00:00|157.03
0|2023-04-16T00:19:34.827495+00:00|159.14
0|2023-04-16T00:20:04.831188+00:00|161.36
0|2023-04-16T00:20:34.834852+00:00|159.59
0|2023-04-16T00:21:04.839065+00:00|158.7
0|2023-04-16T00:21:34.843098+00:00|158.1
0|2023-04-16T00:22:04.846303+00:00|158.94
0|2023-04-16T00:22:34.849870+00:00|159.44
0|2023-04-16T00:23:04.853925+00:00|158.44
0|2023-04-16T00:23:34.857451+00:00|161.31
0|2023-04-16T00:24:04.861364+00:00|160.43
0|2023-04-16T00:24:34.866070+00:00|158.64
0|2023-04-16T00:25:04.869242+00:00|160.18
0|2023-04-16T00:25:34.872142+00:00|161.96
0|2023-04-16T00:26:04.876590+00:00|160.56
0|2023-04-16T00:26:34.880330+00:00|158.52
0|2023-04-16T00:27:04.390378+00:00|170.75
0|2023-04-16T00:27:04.883708+00:00|170.75
0|2023-04-16T00:27:34.888011+00:00|171.03
0|2023-04-16T00:28:04.891917+00:00|170.17
0|2023-04-16T00:28:34.895220+00:00|170.03
0|2023-04-16T00:28:45.388289+00:00|159.42
0|2023-04-16T00:29:04.899863+00:00|157.42
0|2023-04-16T00:29:34.903865+00:00|158.86
0|2023-04-16T00:30:04.907197+00:00|158.89
0|2023-04-16T00:30:34.911174+00:00|158.94
0|2023-04-16T00:31:04.914853+00:00|158.87
0|2023-04-16T00:31:34.918943+00:00|158.16
0|2023-04-16T00:32:04.924525+00:00|160.81
0|2023-04-16T00:32:34.926725+00:00|156.86
0|2023-04-16T00:33:04.930755+00:00|159.08
0|2023-04-16T00:33:34.934221+00:00|158.18
0|2023-04-16T00:34:04.937889+00:00|159.92
0|2023-04-16T00:34:34.941693+00:00|159.88
0|2023-04-16T00:35:04.946198+00:00|158.1
0|2023-04-16T00:35:34.949844+00:00|159.0
0|2023-04-16T00:36:04.955516+00:00|157.47
0|2023-04-16T00:36:34.957832+00:00|161.33
0|2023-04-16T00:37:04.962263+00:00|158.04
0|2023-04-16T00:37:34.965722+00:00|158.66
0|2023-04-16T00:38:04.970699+00:00|160.69
0|2023-04-16T00:38:34.972928+00:00|159.53
0|2023-04-16T00:39:04.976842+00:00|159.77
0|2023-04-16T00:39:34.980241+00:00|160.3
0|2023-04-16T00:40:04.984103+00:00|158.7
0|2023-04-16T00:40:34.987953+00:00|158.19
0|2023-04-16T00:41:04.993103+00:00|160.7
