table|_time|_value
0|2023-04-10T20:50:00+00:00|274.1625
0|2023-04-10T20:55:00+00:00|274.1616483516483
0|2023-04-10T21:00:00+00:00|273.13397435897434
0|2023-04-10T21:05:00+00:00|275.85
0|2023-04-10T21:10:00+00:00|273.4846153846154
0|2023-04-10T21:15:00+00:00|274.659
0|2023-04-10T21:20:00+00:00|272.49157142857143
0|2023-04-10T21:25:00+00:00|274.3122619047619
0|2023-04-10T21:30:00+00:00|272.26500000000004
0|2023-04-10T21:35:00+00:00|286.9521323529412
0|2023-04-10T21:40:00+00:00|275.7161111111111
0|2023-04-10T21:45:00+00:00|274.85676470588237
0|2023-04-10T21:50:00+00:00|273.81107692307694
0|2023-04-10T21:55:00+00:00|277.1625
0|2023-04-10T22:00:00+00:00|277.985955882353
0|2023-04-10T22:05:00+00:00|277.95580357142853
0|2023-04-10T22:10:00+00:00|273.68
0|2023-04-10T22:15:00+00:00|276.8427142857143
0|2023-04-10T22:20:00+00:00|278.2960952380952
0|2023-04-10T22:25:00+00:00|304.0542727272727
0|2023-04-10T22:30:00+00:00|282.11752380952385
0|2023-04-10T22:35:00+00:00|277.21003846153843
0|2023-04-10T22:40:00+00:00|275.1645
0|2023-04-10T22:45:00+00:00|276.25
0|2023-04-10T22:50:00+00:00|275.0414705882353
0|2023-04-10T22:55:00+00:00|278.4378571428572
0|2023-04-10T23:00:00+00:00|295.10215277777775
0|2023-04-10T23:05:00+00:00|372.88283333333334
0|2023-04-10T23:10:00+00:00|382.03600921658983
0|2023-04-10T23:15:00+00:00|379.6396833333333
0|2023-04-10T23:20:00+00:00|378.64165217391303
0|2023-04-10T23:25:00+00:00|381.77343700159486
0|2023-04-10T23:30:00+00:00|375.39713043478264
0|2023-04-10T23:35:00+00:00|360.9684615384615
0|2023-04-10T23:40:00+00:00|379.36841133004924
0|2023-04-10T23:45:00+00:00|390.5894444444445
0|2023-04-10T23:50:00+00:00|392.14433333333335
0|2023-04-10T23:55:00+00:00|364.8447252747253
0|2023-04-11T00:00:00+00:00|278.1652380952381
0|2023-04-11T00:05:00+00:00|279.62666666666667
0|2023-04-11T00:10:00+00:00|279.2003846153847
0|2023-04-11T00:15:00+00:00|281.0485897435898
0|2023-04-11T00:20:00+00:00|276.6060714285714
0|2023-04-11T00:25:00+00:00|278.61583333333334
0|2023-04-11T00:30:00+00:00|285.92680952380954
0|2023-04-11T00:35:00+00:00|277.4382777777778
0|2023-04-11T00:40:00+00:00|275.1839285714286
0|2023-04-11T00:45:00+00:00|313.48366666666664
0|2023-04-11T00:50:00+00:00|278.15659090909094
0|2023-04-11T00:55:00+00:00|276.0602083333333
0|2023-04-11T01:00:00+00:00|273.023
0|2023-04-11T01:05:00+00:00|279.30266666666665
0|2023-04-11T01:10:00+00:00|275.8585
0|2023-04-11T01:15:00+00:00|276.6266666666667
0|2023-04-11T01:20:00+00:00|274.70433333333335
0|2023-04-11T01:25:00+00:00|280.3930592105263
0|2023-04-11T01:30:00+00:00|274.068
0|2023-04-11T01:35:00+00:00|277.12833333333333
0|2023-04-11T01:40:00+00:00|273.1465
0|2023-04-11T01:45:00+00:00|275.7766190476191
0|2023-04-11T01:50:00+00:00|273.1301666666667
0|2023-04-11T01:55:00+00:00|276.17130952380955
0|2023-04-11T02:00:00+00:00|275.5628333333333
0|2023-04-11T02:05:00+00:00|277.42380952380955
0|2023-04-11T02:10:00+00:00|273.81483333333335
0|2023-04-11T02:15:00+00:00|276.36805555555554
0|2023-04-11T02:20:00+00:00|273.83799999999997
0|2023-04-11T02:25:00+00:00|277.3514285714285
0|2023-04-11T02:30:00+00:00|282.42162464985995
0|2023-04-11T02:35:00+00:00|276.50748663101604
0|2023-04-11T02:40:00+00:00|274.33050000000003
0|2023-04-11T02:45:00+00:00|276.70511904761906
0|2023-04-11T02:50:00+00:00|291.66999999999996
0|2023-04-11T02:55:00+00:00|294.78061403508775
0|2023-04-11T03:00:00+00:00|280.681
0|2023-04-11T03:05:00+00:00|278.64142857142855
0|2023-04-11T03:10:00+00:00|276.17709150326795
0|2023-04-11T03:15:00+00:00|280.16846153846154
0|2023-04-11T03:20:00+00:00|282.8065833333333
0|2023-04-11T03:25:00+00:00|277.8562083333333
0|2023-04-11T03:30:00+00:00|289.686
0|2023-04-11T03:35:00+00:00|280.30831372549017
0|2023-04-11T03:40:00+00:00|276.50196428571434
0|2023-04-11T03:45:00+00:00|278.47785714285715
0|2023-04-11T03:50:00+00:00|279.38098901098897
0|2023-04-11T03:55:00+00:00|295.09055555555557
0|2023-04-11T04:00:00+00:00|291.4841666666667
0|2023-04-11T04:05:00+00:00|291.5369047619048
0|2023-04-11T04:10:00+00:00|291.0035714285715
0|2023-04-11T04:15:00+00:00|284.4015789473684
0|2023-04-11T04:20:00+00:00|276.8190000000001
0|2023-04-11T04:25:00+00:00|280.55663865546217
0|2023-04-11T04:30:00+00:00|279.0060902255639
0|2023-04-11T04:35:00+00:00|282.5164347826087
0|2023-04-11T04:40:00+00:00|277.7095
0|2023-04-11T04:45:00+00:00|283.13391666666666
0|2023-04-11T04:50:00+00:00|281.83215277777776
0|2023-04-11T04:55:00+00:00|277.3987019230769
0|2023-04-11T05:00:00+00:00|276.9165
0|2023-04-11T05:05:00+00:00|278.0417293233083
0|2023-04-11T05:10:00+00:00|276.3362916666666
0|2023-04-11T05:15:00+00:00|279.5411666666667
0|2023-04-11T05:20:00+00:00|277.5133333333333
0|2023-04-11T05:25:00+00:00|279.2028571428571
0|2023-04-11T05:30:00+00:00|276.15500000000003
0|2023-04-11T05:35:00+00:00|279.02588888888886
0|2023-04-11T05:40:00+00:00|277.4221428571429
0|2023-04-11T05:45:00+00:00|276.54076086956525
0|2023-04-11T05:50:00+00:00|275.0606666666667
0|2023-04-11T05:55:00+00:00|278.16008928571426
0|2023-04-11T06:00:00+00:00|272.71500000000003
0|2023-04-11T06:05:00+00:00|276.47725
0|2023-04-11T06:10:00+00:00|276.9866666666667
0|2023-04-11T06:15:00+00:00|276.53710526315786
0|2023-04-11T06:20:00+00:00|277.10190476190473
0|2023-04-11T06:25:00+00:00|276.25499999999994
0|2023-04-11T06:30:00+00:00|275.4896666666667
0|2023-04-11T06:35:00+00:00|279.0921666666667
0|2023-04-11T06:40:00+00:00|275.3419230769231
0|2023-04-11T06:45:00+00:00|282.0376328502416
0|2023-04-11T06:50:00+00:00|286.309592760181
0|2023-04-11T06:55:00+00:00|277.18999999999994
0|2023-04-11T07:00:00+00:00|278.155125
0|2023-04-11T07:05:00+00:00|277.6119172932331
0|2023-04-11T07:10:00+00:00|274.82300000000004
0|2023-04-11T07:15:00+00:00|281.9317032967033
0|2023-04-11T07:20:00+00:00|281.21741071428573
0|2023-04-11T07:25:00+00:00|290.7835
0|2023-04-11T07:30:00+00:00|277.67357142857145
0|2023-04-11T07:35:00+00:00|293.0395512820513
0|2023-04-11T07:40:00+00:00|288.9661111111111
0|2023-04-11T07:45:00+00:00|290.4216666666667
0|2023-04-11T07:50:00+00:00|289.3216666666667
0|2023-04-11T07:55:00+00:00|279.04238970588233
0|2023-04-11T08:00:00+00:00|276.4084285714286
0|2023-04-11T08:05:00+00:00|276.65683333333334
0|2023-04-11T08:10:00+00:00|276.4238596491228
0|2023-04-11T08:15:00+00:00|276.7365277777777
0|2023-04-11T08:20:00+00:00|285.07761904761907
0|2023-04-11T08:25:00+00:00|292.4014903846154
0|2023-04-11T08:30:00+00:00|283.70000000000005
0|2023-04-11T08:35:00+00:00|286.50857142857143
0|2023-04-11T08:40:00+00:00|290.3827976190476
0|2023-04-11T08:45:00+00:00|278.3992780748663
0|2023-04-11T08:50:00+00:00|276.5855714285714
0|2023-04-11T08:55:00+00:00|277.5970833333334
0|2023-04-11T09:00:00+00:00|284.70555555555563
0|2023-04-11T09:05:00+00:00|287.8877777777777
0|2023-04-11T09:10:00+00:00|275.92742857142855
0|2023-04-11T09:15:00+00:00|279.62934210526316
0|2023-04-11T09:20:00+00:00|276.4133333333333
0|2023-04-11T09:25:00+00:00|278.65444444444444
0|2023-04-11T09:30:00+00:00|276.9797727272727
0|2023-04-11T09:35:00+00:00|290.5391428571429
0|2023-04-11T09:40:00+00:00|278.8655555555556
0|2023-04-11T09:45:00+00:00|280.0480555555555
0|2023-04-11T09:50:00+00:00|278.7046666666667
0|2023-04-11T09:55:00+00:00|278.6541176470588
0|2023-04-11T10:00:00+00:00|276.8219523809524
0|2023-04-11T10:05:00+00:00|280.365625
0|2023-04-11T10:10:00+00:00|284.78552941176474
0|2023-04-11T10:15:00+00:00|293.4631228070176
0|2023-04-11T10:20:00+00:00|279.77857142857135
0|2023-04-11T10:25:00+00:00|284.3075
0|2023-04-11T10:30:00+00:00|277.9321568627451
0|2023-04-11T10:35:00+00:00|279.7164285714286
0|2023-04-11T10:40:00+00:00|277.9425
0|2023-04-11T10:45:00+00:00|281.4521428571429
0|2023-04-11T10:50:00+00:00|278.5556666666667
0|2023-04-11T10:55:00+00:00|282.62738888888885
0|2023-04-11T11:00:00+00:00|279.6596666666667
0|2023-04-11T11:05:00+00:00|279.29374999999993
0|2023-04-11T11:10:00+00:00|275.279
0|2023-04-11T11:15:00+00:00|286.39140056022404
0|2023-04-11T11:20:00+00:00|276.02168181818183
0|2023-04-11T11:25:00+00:00|280.1041666666667
0|2023-04-11T11:30:00+00:00|279.62199999999996
0|2023-04-11T11:35:00+00:00|309.4355882352941
0|2023-04-11T11:40:00+00:00|312.82810256410255
0|2023-04-11T11:45:00+00:00|282.6858823529412
0|2023-04-11T11:50:00+00:00|291.8311764705882
