#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,Assembly,Device,Location,Sensor,Signal,_field,_measurement,host,topic
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:07:43.625242919Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:08:12.416668542Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:08:13.428626096Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:08:26.545595815Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:08:27.598606219Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:08:43.538084157Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:08:44.540563413Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:08:58.259148966Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:08:59.265640953Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:09:26.497886546Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:09:27.510298731Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:09:40.672362518Z,1,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
,,1,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:09:41.671644876Z,0,Conveyor,Conveyor,AFB,10B2,10B2,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B2
