Time,Time(ns),Q1,Q2,T1,T2
479,1685184466158463300,0.0,0,32.79,28.311
480,1685184467158586700,0.0,0,32.532,28.311
481,1685184468158695500,0.0,0,32.5,28.246
482,1685184469159605900,0.0,0,32.5,28.278
483,1685184470160225900,0.0,0,32.5,28.311
484,1685184471160999800,0.0,0,32.5,28.311
485,1685184472161903100,0.0,0,32.5,28.278
486,1685184473162313200,0.0,0,32.468,28.246
487,1685184474162655200,0.0,0,32.21,28.278
488,1685184475163509400,0.0,0,32.178,28.278
489,1685184476164424200,0.0,0,32.178,28.311
490,1685184477164748300,0.0,0,32.178,28.278
491,1685184478165119700,0.0,0,32.178,28.278
492,1685184479165212400,0.0,0,32.017,28.311
493,1685184480165363100,0.0,0,31.92,28.278
494,1685184481166238600,0.0,0,31.855,28.278
495,1685184482166331400,0.0,0,31.855,28.311
496,1685184483166907800,0.0,0,31.855,28.246
497,1685184484167339400,0.0,0,31.855,28.246
498,1685184485167743200,0.0,0,31.823,28.246
499,1685184486168078400,0.0,0,31.565,28.214
500,1685184487168456400,0.0,0,31.533,28.149
501,1685184488169214000,0.0,0,31.533,28.278
502,1685184489169704800,0.0,0,31.533,28.278
503,1685184490170675700,0.0,0,31.533,28.182
504,1685184491171321700,0.0,0,31.533,28.214
505,1685184492172042500,0.0,0,31.501,28.149
506,1685184493172926700,0.0,0,31.275,28.117
507,1685184494173561000,0.0,0,31.211,28.117
508,1685184495174319500,0.0,0,31.211,28.053
509,1685184496175050100,0.0,0,31.211,28.053
510,1685184497176024300,0.0,0,31.211,28.021
511,1685184498176610200,0.0,0,31.211,28.021
512,1685184499177273800,0.0,0,31.146,27.988
513,1685184500177921000,35.887728022221985,0,30.953,28.053
514,1685184501178282700,35.887728022221985,0,30.921,28.085
515,1685184502178452700,35.887728022221985,0,30.889,27.988
516,1685184503178516400,35.887728022221985,0,30.889,27.988
517,1685184504179035900,35.887728022221985,0,30.889,27.988
518,1685184505179717700,35.887728022221985,0,30.889,27.988
519,1685184506179737800,35.887728022221985,0,30.889,27.988
520,1685184507180275300,35.887728022221985,0,30.824,27.988
521,1685184508180912400,35.887728022221985,0,30.889,27.988
522,1685184509181457500,35.887728022221985,0,30.889,27.988
523,1685184510182448000,35.887728022221985,0,30.824,27.988
524,1685184511183371100,35.887728022221985,0,30.889,27.988
525,1685184512183531100,35.887728022221985,0,30.889,27.988
526,1685184513184463700,35.887728022221985,0,30.889,27.988
527,1685184514185260200,35.887728022221985,0,30.889,27.988
528,1685184515185534300,35.887728022221985,0,30.889,27.988
529,1685184516185556800,35.887728022221985,0,30.889,27.988
530,1685184517185650500,35.887728022221985,0,30.985,27.988
531,1685184518186150400,35.887728022221985,0,31.146,27.988
532,1685184519186567900,35.887728022221985,0,31.211,27.988
533,1685184520187540500,35.887728022221985,0,31.211,27.988
534,1685184521188058900,35.887728022221985,0,31.211,27.988
535,1685184522188800500,35.887728022221985,0,31.243,27.988
536,1685184523189645500,35.887728022221985,0,31.533,27.988
537,1685184524190223700,35.887728022221985,0,31.533,27.988
538,1685184525191061200,35.887728022221985,0,31.533,27.956
539,1685184526191381400,35.887728022221985,0,31.598,27.988
540,1685184527191781600,35.887728022221985,0,31.855,27.988
541,1685184528192354500,35.887728022221985,0,31.855,27.988
542,1685184529193100700,35.887728022221985,0,31.855,27.924
543,1685184530193794300,35.887728022221985,0,32.049,27.924
544,1685184531194614900,35.887728022221985,0,32.178,27.988
545,1685184532195260200,35.887728022221985,0,32.178,27.988
546,1685184533195915700,35.887728022221985,0,32.371,27.988
547,1685184534196778800,35.887728022221985,0,32.5,27.988
548,1685184535197475800,35.887728022221985,0,32.5,27.988
549,1685184536198339200,0.0,0,32.5,27.988
550,1685184537198958200,0.0,0,32.758,27.956
551,1685184538199448800,0.0,0,32.822,27.988
552,1685184539199573200,0.0,0,32.822,27.956
553,1685184540200168400,0.0,0,32.887,27.988
554,1685184541200994700,0.0,0,33.145,27.988
555,1685184542201154600,0.0,0,33.145,27.988
556,1685184543201592400,0.0,0,33.145,27.988
557,1685184544202573000,0.0,0,33.177,27.988
558,1685184545203392000,0.0,0,33.37,27.988
559,1685184546204039000,0.0,0,33.467,27.988
560,1685184547204559900,0.0,0,33.467,27.988
561,1685184548205123700,0.0,0,33.467,27.988
562,1685184549205381500,0.0,0,33.467,27.988
563,1685184550206101500,0.0,0,33.467,27.988
564,1685184551206940100,0.0,0,33.467,27.988
565,1685184552207544400,0.0,0,33.467,27.988
566,1685184553207683400,0.0,0,33.467,27.988
567,1685184554207968300,0.0,0,33.467,27.988
568,1685184555208084700,0.0,0,33.467,27.988
569,1685184556208798600,0.0,0,33.467,27.988
570,1685184557209677300,0.0,0,33.467,27.988
571,1685184558210415000,0.0,0,33.467,27.988
572,1685184559210925500,0.0,0,33.467,27.988
573,1685184560211076200,0.0,0,33.467,27.988
574,1685184561211752200,0.0,0,33.467,27.988
575,1685184562212388600,0.0,0,33.435,27.988
576,1685184563213083200,0.0,0,33.338,27.988
577,1685184564213603500,0.0,0,33.177,27.988
578,1685184565214203300,0.0,0,33.145,27.988
579,1685184566214225500,0.0,0,33.145,27.988
580,1685184567214463400,0.0,0,33.145,27.988
581,1685184568215009700,0.0,0,33.145,27.988
582,1685184569215390300,0.0,0,33.145,27.988
583,1685184570215755900,0.0,0,33.145,27.988
584,1685184571215919000,0.0,0,33.08,27.988
585,1685184572215923100,0.0,0,32.887,27.988
586,1685184573216264100,0.0,0,32.822,27.988
587,1685184574216404200,0.0,0,32.822,28.021
588,1685184575216894100,0.0,0,32.822,28.021
589,1685184576217368400,0.0,0,32.822,27.988
590,1685184577218237400,0.0,0,32.822,27.988
591,1685184578218545400,0.0,0,32.79,28.021
592,1685184579219431600,0.0,0,32.564,28.053
593,1685184580219660400,0.0,0,32.5,27.988
594,1685184581220616200,0.0,0,32.5,28.053
595,1685184582221188700,0.0,0,32.5,28.085
596,1685184583221813600,0.0,0,32.5,28.085
597,1685184584222116000,0.0,0,32.5,28.053
598,1685184585223050000,0.0,0,32.468,28.085
599,1685184586223769200,0.0,0,32.403,28.021
600,1685184587223907900,0.0,0,32.21,28.021
601,1685184588224789800,0.0,0,32.178,28.021
602,1685184589225666700,0.0,0,32.178,28.021
603,1685184590225891600,0.0,0,32.178,28.053
604,1685184591226791200,0.0,0,32.178,28.053
605,1685184592227778100,0.0,0,32.081,27.988
606,1685184593228442100,0.0,0,31.888,28.021
607,1685184594229426400,0.0,0,31.855,27.988
608,1685184595230317200,0.0,0,31.855,27.988
609,1685184596231166900,0.0,0,31.855,27.988
610,1685184597231973800,0.0,0,31.855,27.988
611,1685184598232692100,0.0,0,31.791,27.988
612,1685184599233647900,0.0,0,31.662,27.988
613,1685184600234500200,0.0,0,31.533,27.988
614,1685184601235103900,0.0,0,31.533,27.988
615,1685184602235642700,0.0,0,31.533,27.988
616,1685184603235980400,0.0,0,31.533,27.988
617,1685184604236689100,0.0,0,31.533,27.988
618,1685184605237274100,0.0,0,31.372,27.988
619,1685184606238030100,0.0,0,31.275,27.988
620,1685184607238894800,0.0,0,31.211,27.988
621,1685184608239217300,0.0,0,31.211,27.988
622,1685184609239278400,88.77059313775402,0,31.211,27.988
623,1685184610239357200,88.77059313775402,0,31.211,27.988
624,1685184611240159000,88.77059313775402,0,31.211,27.988
625,1685184612240578000,88.77059313775402,0,31.211,27.988
626,1685184613240719000,88.77059313775402,0,31.211,27.988
627,1685184614241623300,88.77059313775402,0,31.082,27.988
628,1685184615242013400,88.77059313775402,0,31.146,27.988
629,1685184616242533600,88.77059313775402,0,31.211,27.988
630,1685184617243503400,88.77059313775402,0,31.211,27.988
631,1685184618244217800,88.77059313775402,0,31.211,27.988
632,1685184619245008700,88.77059313775402,0,31.243,27.988
633,1685184620245630500,88.77059313775402,0,31.533,27.988
634,1685184621246323200,88.77059313775402,0,31.533,27.988
635,1685184622246780400,88.77059313775402,0,31.759,27.988
636,1685184623247279800,0.0,0,31.855,27.988
637,1685184624247736400,0.0,0,31.92,27.988
638,1685184625248119900,0.0,0,32.178,27.988
639,1685184626248475600,0.0,0,32.5,27.988
640,1685184627248960800,0.0,0,32.5,27.988
641,1685184628249189500,0.0,0,32.822,27.988
642,1685184629249768200,0.0,0,32.854,27.988
643,1685184630249825900,0.0,0,33.145,27.988
644,1685184631250279800,0.0,0,33.145,27.988
645,1685184632250436500,0.0,0,33.467,27.988
646,1685184633250962800,0.0,0,33.467,27.988
647,1685184634251136400,0.0,0,33.596,27.988
648,1685184635251561200,0.0,0,33.789,27.988
649,1685184636252264200,0.0,0,33.789,27.988
650,1685184637252642500,0.0,0,33.789,27.988
651,1685184638253163600,0.0,0,33.918,27.988
652,1685184639254131400,0.0,0,34.079,27.988
653,1685184640254861100,0.0,0,34.111,27.988
654,1685184641255392500,0.0,0,34.111,27.988
655,1685184642255847800,0.0,0,34.111,27.988
656,1685184643256821500,0.0,0,34.111,27.988
657,1685184644257023800,0.0,0,34.111,27.988
658,1685184645257654200,0.0,0,34.111,27.988
659,1685184646257723500,0.0,0,34.111,27.988
660,1685184647258376300,0.0,0,34.111,28.021
661,1685184648259005500,0.0,0,34.111,28.021
662,1685184649259663200,0.0,0,34.111,28.053
663,1685184650260275900,0.0,0,34.111,28.182
664,1685184651260769300,0.0,0,34.111,28.053
665,1685184652261827900,0.0,0,34.111,28.182
666,1685184653262021700,0.0,0,34.111,28.182
667,1685184654262702600,0.0,0,34.111,28.246
668,1685184655263578300,0.0,0,34.111,28.278
669,1685184656264399900,0.0,0,34.111,28.311
670,1685184657264492800,0.0,0,33.982,28.278
671,1685184658265397800,0.0,0,33.789,28.311
672,1685184659266088800,0.0,0,33.789,28.311
673,1685184660266672800,0.0,0,33.789,28.311
674,1685184661266805700,0.0,0,33.789,28.311
675,1685184662267358400,0.0,0,33.789,28.311
676,1685184663267567400,0.0,0,33.789,28.311
677,1685184664267877800,75.04713761128137,0,33.757,28.311
678,1685184665268012300,75.04713761128137,0,33.757,28.311
679,1685184666268407400,75.04713761128137,0,33.596,28.311
680,1685184667268678600,75.04713761128137,0,33.467,28.311
681,1685184668269018600,75.04713761128137,0,33.467,28.311
682,1685184669280757300,75.04713761128137,0,33.467,28.311
683,1685184670281257600,75.04713761128137,0,33.467,28.311
684,1685184671284423600,75.04713761128137,0,33.467,28.311
685,1685184672284552700,75.04713761128137,0,33.467,28.311
686,1685184673285183800,75.04713761128137,0,33.499,28.311
687,1685184674285389900,75.04713761128137,0,33.692,28.311
688,1685184675285943700,75.04713761128137,0,33.789,28.311
689,1685184676299029900,75.04713761128137,0,33.789,28.311
690,1685184677307089900,75.04713761128137,0,33.918,28.311
691,1685184678317239200,75.04713761128137,0,34.111,28.311
692,1685184679318173100,75.04713761128137,0,34.111,28.311
693,1685184680326940800,0.0,0,34.434,28.311
694,1685184681339329600,0.0,0,34.434,28.311
695,1685184682339970300,0.0,0,34.756,28.311
696,1685184683340669800,0.0,0,34.756,28.311
697,1685184684340741000,0.0,0,35.078,28.311
698,1685184685341618100,0.0,0,35.078,28.311
699,1685184686341628800,0.0,0,35.368,28.343
700,1685184687355143800,0.0,0,35.4,28.311
701,1685184688360178600,0.0,0,35.497,28.343
702,1685184689361817800,0.0,0,35.723,28.343
703,1685184690363816500,0.0,0,35.723,28.439
704,1685184691364518400,0.0,0,35.723,28.504
705,1685184692368118500,0.0,0,35.98,28.601
706,1685184693368784000,0.0,0,36.045,28.633
707,1685184694369177400,0.0,0,36.045,28.633
708,1685184695369395400,0.0,0,36.045,28.633
709,1685184696374670900,0.0,0,36.045,28.633
710,1685184697376047200,0.0,0,36.045,28.633
711,1685184698376130100,0.0,0,36.045,28.633
712,1685184699379123500,0.0,0,36.045,28.633
713,1685184700380647100,0.0,0,36.045,28.633
714,1685184701381298300,0.0,0,36.077,28.633
715,1685184702383184300,0.0,0,36.045,28.633
716,1685184703383415800,0.0,0,36.045,28.633
